"id(n)","size((n)-[:`person/investor`]-())","size((n)-[:`person/legal`]-())","size((n)-[:`company/investor`]-())","size((n)-[:`company/staff`]-())","size((n)-[:`company/legal`]-())"
"191637","5","10","0","13","0"
"191951","14","8","0","15","0"
"192562","8","8","0","6","0"
"193043","10","4","0","13","0"
"193356","12","10","0","14","0"
"193919","9","9","0","12","0"
"193924","27","12","0","47","0"
"194494","8","7","0","9","0"
"194624","5","5","0","10","0"
"194708","6","6","0","9","0"
"194911","8","4","0","8","0"
"195307","7","6","0","9","0"
"195528","24","16","0","25","0"
"195919","10","1","0","11","0"
"196118","4","10","0","10","0"
"196448","8","6","0","9","0"
"196554","8","8","0","9","0"
"197313","14","10","0","21","0"
"197545","7","4","0","11","0"
"197570","3","13","0","13","0"
"197707","8","7","0","8","0"
"197752","9","4","0","7","0"
"197970","1","0","0","23","0"
"198764","8","6","0","9","0"
"198977","8","4","0","8","0"
"199300","11","3","0","10","0"
"199425","1","0","0","29","0"
"199446","34","2","0","19","0"
"199668","6","9","0","11","0"
"199733","13","7","0","13","0"
"200954","12","9","0","27","0"
"201676","8","10","0","13","0"
"201724","2","15","0","11","0"
"201840","12","4","0","10","0"
"202002","1","1","0","34","0"
"202117","8","4","0","8","0"
"202279","9","4","0","9","0"
"203119","13","5","0","13","0"
"203371","0","11","0","11","0"
"204116","0","11","0","9","0"
"204759","0","11","0","20","0"
"205261","7","8","0","10","0"
"205378","9","3","0","10","0"
"205474","14","9","0","15","0"
"205666","17","22","0","25","0"
"205897","9","3","0","8","0"
"206331","8","6","0","7","0"
"206637","14","6","0","16","0"
"207289","3","11","0","9","0"
"207378","9","6","0","8","0"
"207662","0","11","0","12","0"
"208237","12","5","0","13","0"
"208239","10","7","0","9","0"
"208298","8","6","0","8","0"
"208342","12","2","0","6","0"
"208603","7","7","0","9","0"
"208916","11","10","0","27","0"
"209074","4","6","0","13","0"
"209163","1","9","0","10","0"
"209307","3","9","0","10","0"
"209544","0","18","0","18","0"
"209681","27","1","0","30","0"
"210573","19","12","0","19","0"
"210577","2","10","0","11","0"
"210715","6","7","0","25","0"
"211051","6","6","0","11","0"
"211574","19","9","0","20","0"
"211601","0","14","0","15","0"
"212237","6","7","0","7","0"
"212752","4","8","0","8","0"
"213429","0","15","0","15","0"
"213993","0","233","0","271","0"
"214072","4","11","0","8","0"
"215432","6","5","0","9","0"
"215937","2","20","0","18","0"
"216030","4","11","0","7","0"
"216179","4","13","0","11","0"
"216493","13","22","0","24","0"
"216534","11","8","0","10","0"
"216836","4","13","0","7","0"
"216868","9","5","0","9","0"
"216917","8","7","0","9","0"
"217082","12","7","0","12","0"
"217136","0","10","0","12","0"
"217143","9","3","0","9","0"
"217298","8","4","0","12","0"
"217386","14","9","0","15","0"
"217856","8","8","0","8","0"
"218025","0","0","0","22","0"
"218119","5","5","0","10","0"
"218234","7","6","0","9","0"
"218287","6","6","0","8","0"
"218350","17","11","0","15","0"
"218531","3","1","0","29","0"
"218784","8","4","0","8","0"
"218965","1","17","0","20","0"
"219339","9","8","0","8","0"
"219971","9","6","0","7","0"
"220091","8","5","0","11","0"
"220245","8","7","0","10","0"
"220932","9","9","0","12","0"
"220989","0","64","0","64","0"
"221019","6","14","0","5","0"
"221753","12","10","0","10","0"
"221780","9","6","0","8","0"
"221793","6","8","0","6","0"
"221857","18","6","0","10","0"
"221859","0","11","0","9","0"
"221872","0","31","0","26","0"
"221940","6","7","0","7","0"
"222382","15","17","0","29","0"
"223285","11","3","0","13","0"
"224360","0","26","0","1","0"
"224766","14","4","0","17","0"
"225196","6","8","0","8","0"
"225206","6","4","0","10","0"
"225590","13","4","0","11","0"
"225745","9","5","0","8","0"
"226752","9","4","0","8","0"
"226900","1","12","0","15","0"
"227307","1","21","0","21","0"
"227533","17","6","0","8","0"
"227549","7","6","0","7","0"
"227788","12","6","0","12","0"
"227799","12","0","0","22","0"
"228353","20","7","0","14","0"
"228586","6","6","0","10","0"
"228612","2","19","0","7","0"
"229168","0","0","0","47","0"
"229575","25","7","0","25","0"
"229761","9","4","0","9","0"
"230209","9","3","0","11","0"
"230312","7","2","0","14","0"
"230414","8","7","0","9","0"
"230734","7","5","0","8","0"
"230946","0","19","0","5","0"
"231141","13","6","0","15","0"
"231389","11","5","0","12","0"
"231850","8","6","0","6","0"
"232279","4","7","0","9","0"
"232724","11","7","0","12","0"
"232993","7","6","0","8","0"
"233462","0","45","0","10","0"
"233490","9","2","0","11","0"
"233610","10","5","0","6","0"
"233716","7","5","0","8","0"
"234170","2","28","0","28","0"
"234185","7","5","0","9","0"
"235175","0","13","0","17","0"
"235207","8","5","0","8","0"
"235376","8","9","0","11","0"
"236439","8","6","0","12","0"
"236625","6","9","0","10","0"
"236652","0","11","0","10","0"
"237733","6","11","0","6","0"
"237896","5","9","0","9","0"
"238778","17","13","0","21","0"
"239231","0","13","0","14","0"
"239634","1","20","0","11","0"
"240293","6","9","0","10","0"
"240801","7","7","0","9","0"
"241099","9","10","0","9","0"
"242154","0","0","0","21","0"
"244226","9","2","0","10","0"
"246162","9","5","0","10","0"
"246656","0","67","0","71","0"
"246695","20","13","0","22","0"
"246696","8","6","0","18","0"
"247056","11","5","0","12","0"
"248157","11","13","0","12","0"
"249039","7","8","0","7","0"
"249095","10","7","0","11","0"
"250041","14","7","0","12","0"
"251395","10","8","0","11","0"
"251462","6","6","0","9","0"
"251590","7","4","0","9","0"
"251619","8","12","0","9","0"
"251780","7","4","0","9","0"
"251899","14","7","0","20","0"
"253226","0","4","0","16","0"
"253260","1","9","0","11","0"
"253988","6","11","0","12","0"
"254075","3","5","0","13","0"
"254177","8","4","0","9","0"
"254435","8","5","0","9","0"
"254636","1","0","0","25","0"
"254846","5","8","0","10","0"
"255190","11","10","0","12","0"
"255463","13","9","0","13","0"
"255601","13","7","0","15","0"
"255623","8","4","0","8","0"
"255786","0","31","0","28","0"
"256010","0","0","0","27","0"
"256133","0","22","0","0","0"
"256147","6","2","0","12","0"
"256515","9","4","0","7","0"
"256617","6","8","0","7","0"
"256820","10","4","0","8","0"
"256905","2","9","0","9","0"
"257052","6","8","0","8","0"
"257272","9","7","0","9","0"
"257522","12","4","0","9","0"
"257532","22","10","0","23","0"
"257890","3","10","0","9","0"
"258414","1","24","0","11","0"
"258822","5","4","0","16","0"
"259367","15","14","0","18","0"
"259843","10","8","0","16","0"
"259886","13","2","0","5","0"
"260162","9","3","0","9","0"
"260248","7","7","0","7","0"
"260381","0","11","0","16","0"
"261344","3","9","0","12","0"
"262799","11","9","0","18","0"
"262822","3","1","0","29","0"
"263167","8","10","0","11","0"
"263361","13","5","0","11","0"
"263541","13","17","0","20","0"
"264052","10","7","0","3","0"
"264700","11","7","0","10","0"
"265010","0","15","0","9","0"
"265172","8","7","0","13","0"
"265306","8","5","0","8","0"
"265687","8","8","0","7","0"
"266454","6","7","0","9","0"
"266484","21","19","0","26","0"
"267519","10","1","0","9","0"
"267605","7","47","0","56","0"
"267913","9","8","0","10","0"
"268795","10","7","0","10","0"
"269129","9","9","0","11","0"
"269528","10","6","0","5","0"
"269910","5","23","0","22","0"
"270024","6","7","0","9","0"
"270452","21","7","0","22","0"
"270643","0","34","0","8","0"
"270854","9","11","0","12","0"
"271154","8","7","0","11","0"
"271165","0","11","0","11","0"
"271236","11","5","0","12","0"
"271492","0","0","0","51","0"
"271742","7","8","0","10","0"
"271795","4","5","0","13","0"
"271816","10","4","0","10","0"
"272266","10","5","0","11","0"
"272311","15","2","0","11","0"
"272692","8","10","0","12","0"
"272801","4","31","0","51","0"
"273151","10","4","0","10","0"
"274064","0","12","0","10","0"
"274321","9","3","0","8","0"
"274482","11","7","0","9","0"
"275017","4","6","0","13","0"
"275526","9","3","0","9","0"
"275528","8","6","0","6","0"
"275553","4","6","0","10","0"
"275992","14","9","0","14","0"
"276111","4","8","0","8","0"
"276167","8","5","0","7","0"
"276828","9","6","0","10","0"
"276914","8","5","0","10","0"
"277101","6","4","0","10","0"
"277212","8","5","0","7","0"
"277317","8","8","0","10","0"
"277632","0","25","0","24","0"
"277700","3","15","0","7","0"
"277997","0","14","0","8","0"
"279250","0","13","0","19","0"
"279310","7","9","0","12","0"
"279332","12","6","0","11","0"
"279451","1","17","0","17","0"
"279718","9","5","0","9","0"
"279756","8","7","0","9","0"
"280357","1","46","0","40","0"
"280864","10","9","0","10","0"
"281516","10","5","0","8","0"
"281628","12","5","0","8","0"
"281666","8","8","0","6","0"
"282021","2","7","0","16","0"
"282206","8","4","0","8","0"
"282433","9","5","0","8","0"
"283038","9","2","0","9","0"
"283098","11","4","0","9","0"
"283206","12","4","0","5","0"
"284003","7","4","0","15","0"
"285634","9","6","0","8","0"
"285803","42","23","0","37","0"
"285984","6","11","0","13","0"
"286880","30","18","0","30","0"
"287119","11","5","0","11","0"
"287513","11","7","0","9","0"
"287539","0","8","0","12","0"
"287544","0","24","0","24","0"
"287881","9","10","0","11","0"
"288041","6","18","0","25","0"
"288444","2","10","0","18","0"
"288696","0","10","0","10","0"
"289552","8","7","0","5","0"
"289586","14","2","0","8","0"
"289764","51","73","0","156","0"
"289810","8","10","0","11","0"
"291638","0","21","0","21","0"
"291776","7","7","0","7","0"
"291779","1","7","0","17","0"
"292007","7","7","0","8","0"
"292196","5","11","0","16","0"
"292351","0","13","0","13","0"
"292424","8","8","0","10","0"
"292607","9","7","0","9","0"
"292886","10","10","0","10","0"
"293071","11","5","0","9","0"
"293295","0","33","0","0","0"
"293491","10","5","0","12","0"
"293983","0","38","0","33","0"
"294405","5","8","0","23","0"
"294606","9","7","0","10","0"
"294843","0","12","0","12","0"
"294911","0","13","0","13","0"
"295421","6","7","0","9","0"
"295919","9","4","0","7","0"
"296355","4","2","0","16","0"
"296811","8","4","0","8","0"
